# ratings.txt
User;Название;Жанр;Рейтинг
Иван;Побег из Шоушенка;драма;9.3
Иван;Крёстный отец;криминал;9.2
Иван;Тёмный рыцарь;боевик;9.0
Иван;Список Шиндлера;драма;8.9
Иван;Начало;боевик;8.8
Иван;Матрица;боевик;8.7
Иван;Форрест Гамп;драма;8.8
Иван;Один дома;комедия;7.6
Иван;Интерстеллар;фантастика;8.6
Иван;Назад в будущее;фантастика;8.5

Ольга;Побег из Шоушенка;драма;9.1
Ольга;Крёстный отец;криминал;9.3
Ольга;Тёмный рыцарь;боевик;8.8
Ольга;Список Шиндлера;драма;9.0
Ольга;Начало;боевик;8.7
Ольга;Матрица;боевик;8.9
Ольга;Форрест Гамп;драма;8.7
Ольга;Один дома;комедия;7.8
Ольга;Интерстеллар;фантастика;8.5
Ольга;Назад в будущее;фантастика;8.6

Сергей;Побег из Шоушенка;драма;9.0
Сергей;Крёстный отец;криминал;9.1
Сергей;Тёмный рыцарь;боевик;9.2
Сергей;Список Шиндлера;драма;8.7
Сергей;Начало;боевик;8.9
Сергей;Матрица;боевик;8.5
Сергей;Форрест Гамп;драма;8.9
Сергей;Один дома;комедия;7.5
Сергей;Интерстеллар;фантастика;8.7
Сергей;Назад в будущее;фантастика;8.4

Мария;Побег из Шоушенка;драма;9.2
Мария;Крёстный отец;криминал;9.0
Мария;Тёмный рыцарь;боевик;9.1
Мария;Список Шиндлера;драма;8.8
Мария;Начало;боевик;8.6
Мария;Матрица;боевик;8.8
Мария;Форрест Гамп;драма;8.8
Мария;Один дома;комедия;7.7
Мария;Интерстеллар;фантастика;8.4
Мария;Назад в будущее;фантастика;8.7

Дмитрий;Побег из Шоушенка;драма;9.3
Дмитрий;Крёстный отец;криминал;9.2
Дмитрий;Тёмный рыцарь;боевик;8.9
Дмитрий;Список Шиндлера;драма;9.1
Дмитрий;Начало;боевик;8.8
Дмитрий;Матрица;боевик;8.6
Дмитрий;Форрест Гамп;драма;8.9
Дмитрий;Один дома;комедия;7.9
Дмитрий;Интерстеллар;фантастика;8.8
Дмитрий;Назад в будущее;фантастика;8.5

# Продолжение: новые оценки от Ивана
Иван;Властелин колец: Братство Кольца;фэнтези;8.8
Иван;Гладиатор;исторический;8.5
Иван;Титаник;драма;7.8
Иван;Джуманджи;приключения;7.2
Иван;Леон;боевик;8.5
# Продолжение: новые оценки от Ольги
Ольга;Властелин колец: Братство Кольца;фэнтези;8.9
Ольга;Гладиатор;исторический;8.7
Ольга;Титаник;драма;7.9
Ольга;Джуманджи;приключения;7.0
Ольга;Леон;боевик;8.7
# Продолжение: новые оценки от Сергея
Сергей;Властелин колец: Братство Кольца;фэнтези;8.7
Сергей;Гладиатор;исторический;8.4
Сергей;Титаник;драма;7.7
Сергей;Джуманджи;приключения;7.5
Сергей;Леон;боевик;8.4
# Продолжение: новые оценки от Марии
Мария;Властелин колец: Братство Кольца;фэнтези;8.6
Мария;Гладиатор;исторический;8.3
Мария;Титаник;драма;7.8
Мария;Джуманджи;приключения;7.1
Мария;Леон;боевик;8.6
# Продолжение: новые оценки от Дмитрия
Дмитрий;Властелин колец: Братство Кольца;фэнтези;8.9
Дмитрий;Гладиатор;исторический;8.6
Дмитрий;Титаник;драма;7.9
Дмитрий;Джуманджи;приключения;7.3
Дмитрий;Леон;боевик;8.8

# Новые пользователи
Алексей;Побег из Шоушенка;драма;9.0
Алексей;Крёстный отец;криминал;9.1
Алексей;Тёмный рыцарь;боевик;9.0
Алексей;Матрица;боевик;8.5
Алексей;Властелин колец: Братство Кольца;фэнтези;8.8
Алексей;Гладиатор;исторический;8.5
Алексей;Один дома;комедия;7.0
Алексей;Джуманджи;приключения;7.4

Екатерина;Список Шиндлера;драма;8.9
Екатерина;Форрест Гамп;драма;8.7
Екатерина;Интерстеллар;фантастика;8.7
Екатерина;Назад в будущее;фантастика;8.4
Екатерина;Титаник;драма;7.7
Екатерина;Леон;боевик;8.5
Екатерина;Один дома;комедия;7.5
Екатерина;Джуманджи;приключения;7.2
